Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date
Software Developer,Magnet Forensics,"Waterloo, ON",74485.0,94315.0,2023-10-04
Senior Dev Sec Ops Specialist,BlackBerry,"Waterloo, ON",94278.0,119377.0,2023-10-04
Senior Software Developer,Magnet Forensics,"Waterloo, ON",92563.0,117205.0,2023-10-04
CNC programmer,Aversan,"Waterloo, ON",70211.0,88903.0,2023-10-04
Computer Programming - Subject Matter Expert (SME),Robertson College,Various locations,72580.0,91903.0,2023-10-04
CNC Programmer,Chervin,"St. Clements, ON",43003.0,54452.0,2023-10-04
2024 Research Scientist at Perimeter Institute (CHORD radio telescope),Perimeter Institute for Theoretical Physics,"Waterloo, ON",,,2023-10-04
Sr. Principal Software Architect,Open Text Corporation,"Waterloo, ON",111782.0,141540.0,2023-10-04
Customer Support Representative,opentext,"Waterloo, ON",39388.0,49875.0,2023-10-04
Senior Test Automation Developer,LogiSense Corporation,"Kitchener, ON",106510.0,134865.0,2023-10-04
Associate Product Support Specialist,opentext,"Waterloo, ON",52799.0,66856.0,2023-10-04
Temenos T24 Developer (Remote),HVN Solutions,"Waterloo, ON",106539.0,134902.0,2023-10-04
Senior Technical Program Manager,Siemens,"Kitchener, ON",108182.0,136983.0,2023-10-04
Principal IT Software Engineer,Open Text Corporation,"Waterloo, ON",90589.0,114706.0,2023-10-04
Senior Mobile Developer,Sun Life,"Waterloo, ON",,,2023-10-04
"Manager, Software Development",D2L,"Kitchener, ON",102763.0,130122.0,2023-10-04
Senior Cloud Engineer,Ontario Health,Various locations,92823.0,117535.0,2023-10-04
Senior DevOps Engineer,ISG Search Inc,Various locations,98974.0,125323.0,2023-10-04
Senior Industrial Simulation Developer,Clearpath Inc.,"Kitchener, ON",87699.0,111046.0,2023-10-04
Business Development Manager,MEDA,"Waterloo, ON",79422.0,100566.0,2023-10-04
CNC 5th Axis Machinist/Programmer,Novy Manufacturing Inc.,"Waterloo, ON",,,2023-10-04
Software Engineer – DevOps,Magnet Forensics,"Waterloo, ON",81036.0,102610.0,2023-10-04
Senior Product Security & Cloud Security Engineer,Siemens,"Kitchener, ON",101415.0,128414.0,2023-10-04
"Senior Team Lead, Software Development",Geotab,"Waterloo, ON",107422.0,136020.0,2023-10-04
Senior Cloud Engineer,Sun Life,"Waterloo, ON",,,2023-10-04
