Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
"Staff Software Developer, Google Cloud",Google,"Waterloo, ON",,,2023-10-04,2023-10-04
"Software Engineering Manager, Group Benefits",Manulife,"Waterloo, ON",88645.0,112244.0,2023-10-04,2023-11-08
Software Developer,Canadian Solar,"Guelph, ON",93642.0,118572.0,2023-10-04,2023-10-04
Intermediate C++ Software Developer – Integrated Media Block,Christie Digital Systems Inc.,"Kitchener, ON",87571.0,110884.0,2023-10-04,2023-11-01
Full Stack Developer,"Cloud DX, Inc.","Kitchener, ON",84746.0,107308.0,2023-10-04,2023-11-22
Java Engineer (Backend),Prospect,"Waterloo, ON",75154.0,95162.0,2023-10-04,2023-10-11
"Senior Software Engineer, Mobile (Android) - Remote/Hybrid",IMS,"Waterloo, ON",93765.0,118728.0,2023-10-04,2023-11-22
Senior Site Reliability Engineering Developer (DevOps),Encircle,"Kitchener, ON",163309.0,206785.0,2023-10-04,2023-10-11
"Senior Java Developer (onsite Cambridge, ON)",VectorVue,"Kitchener, ON",,,2023-10-04,2023-11-22
Software Developer,Ontario Health,Various locations,86598.0,109653.0,2023-10-04,2023-10-11
"Product Developer, Software - Advanced Research",Christie Digital Systems Inc.,"Kitchener, ON",76644.0,97048.0,2023-10-04,2023-11-22
Full Stack Web Developer,BicDroid Inc.,"Waterloo, ON",54981.0,69618.0,2023-10-04,2023-11-22
Intermediate Software Developer (Remote),DriverCheck Inc.,"Kitchener, ON",111358.0,141005.0,2023-10-04,2023-10-25
Experienced Full Stack Web Developer,Boardera Software,"Kitchener, ON",77187.0,97736.0,2023-10-04,2023-11-22
Staff Software Developer,ApplyBoard,"Kitchener, ON",80805.0,102318.0,2023-10-04,2023-11-22
Backend Developer,Descartes,"Waterloo, ON",87218.0,110438.0,2023-10-04,2023-10-25
Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",82094.0,103949.0,2023-10-04,2023-11-15
Java Developer - Canadian Visa Sponsorship Global Talent Stream,Venuiti,"Kitchener, ON",,,2023-10-04,2023-11-22
software developer,Pegmatis Inc.,"Kitchener, ON",121828.5,121828.5,2023-10-04,2023-10-11
senior software developer,Go Integrations,"Toronto, ON",70000.0,75000.0,2023-10-04,2023-10-25
CNC Programmer,The Bamco Group,"Guelph, ON",,,2023-10-04,2023-10-18
software developer,Pegmatis Inc.,"Cambridge, ON",121318.65,121318.65,2023-10-04,2023-10-11
software developer,MUNDAIR CONSULTING LTD.,"Guelph, ON",89960.0,89960.0,2023-10-04,2023-11-22
software developer,Mako Financial Technologies Inc.,"Camrose, AB",87320.0,87320.0,2023-10-04,2023-11-22
software developer,Capleo Global,Various locations,,,2023-10-04,2023-10-18
software developer,Virtek Vision,"Waterloo, ON",,,2023-10-04,2023-10-11
software developer,GLOBAL DEVELOPMENT WORKS LTD.,"Kitchener, ON",90480.0,90480.0,2023-10-04,2023-11-22
software developer,Ford Motor Company,"Waterloo, ON",,,2023-10-04,2023-11-22
software developer,Capgemini Engineering CA,"Kitchener, ON",,,2023-10-04,2023-10-25
software developer,LogiSense Corporation,"Kitchener, ON",,,2023-10-04,2023-10-18
cloud developer,Venuiti,"Waterloo, ON",,,2023-10-04,2023-10-18
software developer,Voiant Group,Various locations,,,2023-10-04,2023-10-25
software developer,VON Canada,"Ottawa, ON",65996.0,71551.0,2023-10-04,2023-11-01
Software Developer,Wrightplan Inc.,"Waterloo, ON",79460.0,100614.0,2023-10-04,2023-10-04
"Software Developer III, Google Cloud Networking",Google,"Waterloo, ON",,,2023-10-04,2023-10-18
Software Developer in Test,onsemi,"Waterloo, ON",74156.0,93898.0,2023-10-04,2023-11-22
Software Developer,MarshallZehr,"Waterloo, ON",78647.0,99584.0,2023-10-04,2023-11-22
Software Developer,SHOPEDGE SOFTWARE INC,"Kitchener, ON",,,2023-10-04,2023-11-22
Software Engineer,Bosch Group,"Waterloo, ON",80148.0,101486.0,2023-10-04,2023-11-22
Software Developer,ISN Technologies,"Waterloo, ON",75118.0,95116.0,2023-10-04,2023-11-22
Full stack developer (Remote),Applied Brain Research,"Waterloo, ON",,,2023-10-04,2023-11-08
Intermediate Software Developer (Back End - Java),Power TakeOff,"Kitchener, ON",,,2023-10-04,2023-10-11
ReactJS Developer,Venuiti,"Waterloo, ON",75527.0,95635.0,2023-10-04,2023-10-25
Software Developer,Flanagan Foodservice,"Kitchener, ON",63404.0,80283.0,2023-10-04,2023-11-22
AWS/DevOps Engineer,Venuiti,"Kitchener, ON",,,2023-10-04,2023-11-01
Software Developer,D2L,"Kitchener, ON",89321.0,113100.0,2023-10-04,2023-11-22
Software Engineering Manager,CEDENT,"Waterloo, ON",102184.0,129388.0,2023-10-04,2023-11-22
Senior Wordpress Developer for Ecommerce,Sienci Labs Inc.,"Waterloo, ON",,,2023-10-04,2023-11-01
"Technical Solutions Developer, Infrastructure, Google Cloud",Google,"Waterloo, ON",,,2023-10-04,2023-10-04
software developer,Pegmatis Inc.,"Guelph, ON",121462.47,121462.47,2023-10-04,2023-10-11
Software Engineer,MealSuite,"Kitchener, ON",90091.0,114076.0,2023-10-04,2023-11-01
"Senior Software Developer, Precision Health Platform, Workflows",Verily,"Waterloo, ON",97031.0,122862.0,2023-10-04,2023-10-11
Senior Cloud Software Developer,Siemens,"Kitchener, ON",99267.0,125694.0,2023-10-04,2023-11-22
Customer Support Representative,Open Text Corporation,"Waterloo, ON",39388.0,49875.0,2023-10-04,2023-10-11
"Software Engineering Manager II, Security/Privacy, Google Cloud Business Platforms",Google,"Waterloo, ON",,,2023-10-04,2023-10-04
Software Engineer Senior,Altair Engineering,"Waterloo, ON",119628.0,151476.0,2023-10-04,2023-11-22
Senior DevOps Developer,Clearpath Inc.,"Kitchener, ON",106499.0,134851.0,2023-10-04,2023-10-11
Software Developer (Programmer/Analyst),Teledyne e2v Semiconductors,"Waterloo, ON",63567.0,80490.0,2023-10-04,2023-11-08
C++ Software Engineer,Procom,Various locations,,,2023-10-04,2023-10-04
Sr. Software Engineer,MCAP,"Waterloo, ON",97165.0,123032.0,2023-10-04,2023-11-22
.NET Mobile Developer,Semex,"Guelph, ON",81110.0,102704.0,2023-10-04,2023-10-18
Associate Product Support Specialist,Open Text Corporation,"Waterloo, ON",52799.0,66856.0,2023-10-04,2023-11-08
Senior Software Developer,Brock Solutions,"Kitchener, ON",100193.0,126867.0,2023-10-04,2023-11-22
"Senior Backend Engineer, Web3",Recruiting From Scratch,"Waterloo, ON",,,2023-10-04,2023-10-04
CNC Programmer,Héroux-Devtek Inc.,"Kitchener, ON",60055.0,76043.0,2023-10-04,2023-11-22
Software Engineering Manager,onsemi,"Waterloo, ON",104090.0,131801.0,2023-10-04,2023-11-08
Project Manager,Ontario Health,Various locations,96287.0,121921.0,2023-10-04,2023-11-08
Senior Software Engineer,Carta,"Waterloo, ON",104700.0,132574.0,2023-10-04,2023-11-22
Senior Software Engineer (java/Kafka),Sun Life,"Waterloo, ON",,,2023-10-04,2023-10-11
FPGA Developer,Christie Digital,"Kitchener, ON",82097.0,103953.0,2023-10-04,2023-11-01
C++ Developer - Low Level - Canada,GTS,"Kitchener, ON",90620.0,114745.0,2023-10-04,2023-10-18
Sage People Software Developer - Contract,Compugen Inc,Various locations,,,2023-10-04,2023-10-25
Staff Machine Learning Developer,FullStory,"Waterloo, ON",101315.0,128287.0,2023-10-04,2023-11-22
Build System Developer,MAXON Computer,"Waterloo, ON",84898.0,107499.0,2023-10-04,2023-11-08
"Senior Software Developer, Networks, Google Cloud Business Platforms",Google,"Waterloo, ON",,,2023-10-04,2023-10-25
Engineering Communications Education Developer,University of Waterloo,"Waterloo, ON",74452.0,94273.0,2023-10-04,2023-10-25
Network Engineer - IT & Cloud Infrastructure,Siemens,"Kitchener, ON",67724.0,85754.0,2023-10-04,2023-11-22
CNC Mill Programmer/Machinist,Novy Manufacturing Inc.,"Waterloo, ON",,,2023-10-04,2023-11-15
Senior Software Developer (C#/C++),Virtek Vision,"Waterloo, ON",104207.0,131950.0,2023-10-04,2023-10-11
Web Application Developer,Fivewalls,"Waterloo, ON",67100.0,84964.0,2023-10-04,2023-11-22
Full Stack Engineer,Just Play Sports Solutions LLC,"Kitchener, ON",85716.0,108535.0,2023-10-04,2023-11-22
Learning and Development Specialists - Leadership Development,University of Waterloo,"Waterloo, ON",72011.0,91182.0,2023-10-04,2023-10-04
Software Engineer - Design Verification,Ford Motor Company,"Waterloo, ON",85527.0,108296.0,2023-10-04,2023-10-11
IT/ Software Development Technology Consultant for Tax Incentives,KPMG,"Waterloo, ON",57375.0,72650.0,2023-10-04,2023-11-22
Java WebObjects Web Developer,LIFELEARN,"Guelph, ON",86595.0,109648.0,2023-10-04,2023-10-11
Educational Developer,University of Waterloo,"Waterloo, ON",79048.0,100092.0,2023-10-04,2023-10-11
CNC Programmer,Artco,"Kitchener, ON",40790.0,51650.0,2023-10-04,2023-11-22
Software Engineer - Full Stack,MCAP,"Waterloo, ON",88820.0,112466.0,2023-10-04,2023-11-22
Senior Software Developer,D2L,"Kitchener, ON",105533.0,133629.0,2023-10-04,2023-11-22
Senior Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",119813.0,151711.0,2023-10-04,2023-11-08
Full Stack Developer,Planitar Inc.,"Waterloo, ON",84743.0,107304.0,2023-10-04,2023-11-01
Senior Software Developer - Quantum Compiler/Transpiler,Anyon Systems Inc.,"Waterloo, ON",95899.0,121430.0,2023-10-04,2023-11-22
C/C++ Software Developer,BicDroid Inc.,"Waterloo, ON",84611.0,107136.0,2023-10-04,2023-11-22
Software Deployment Engineer,Brock Solutions,"Kitchener, ON",75889.0,96093.0,2023-10-04,2023-11-08
Senior Software Engineer,NCR,"Waterloo, ON",100064.0,126704.0,2023-10-04,2023-11-22
